Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_float_TN,tn_50_409_512_ld_512_512_50,Gemm_Rocblas_-1140855911,0.03022
GemmTunableOp_float_NN,nn_825_640_409_ld_825_409_825,Gemm_Rocblas_-1140853866,0.163788
GemmTunableOp_float_NN,nn_825_512_409_ld_825_409_825,Gemm_Rocblas_-1140853719,0.125128
GemmTunableOp_float_NT,nt_1_495000_9_ld_1_495000_1,Gemm_Rocblas_-9,0.304134
GemmTunableOp_float_TN,tn_768_255_128_ld_128_128_768,Gemm_Rocblas_-1140855742,0.0516611
GemmTunableOp_float_TN,tn_768_255_768_ld_768_768_768,Gemm_Rocblas_-1140855672,0.160548
GemmTunableOp_float_TN,tn_2048_255_768_ld_768_768_2048,Gemm_Rocblas_-1140855653,0.295999
GemmTunableOp_float_TN,tn_768_255_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855657,0.330419
GemmTunableOp_float_TN,tn_768_1_768_ld_768_195840_768,Gemm_Rocblas_-1140855913,0.0457813
GemmTunableOp_float_TN,tn_512_255_768_ld_768_768_512,Gemm_Rocblas_-1140855735,0.104712
GemmTunableOp_float_TN,tn_50_255_512_ld_512_512_50,Gemm_Rocblas_-1140855916,0.0268425
GemmTunableOp_float_NN,nn_550_640_255_ld_550_255_550,Gemm_Rocblas_-1140853868,0.0841603
GemmTunableOp_float_NN,nn_550_512_255_ld_550_255_550,Gemm_Rocblas_-1140853871,0.0675266
GemmTunableOp_float_NT,nt_1_330000_9_ld_1_330000_1,Gemm_Rocblas_-1140854912,0.190371
GemmTunableOp_float_TN,tn_768_261_128_ld_128_128_768,Gemm_Rocblas_-1140855760,0.0533403
GemmTunableOp_float_TN,tn_768_261_768_ld_768_768_768,Gemm_Rocblas_-1140855639,0.175455
GemmTunableOp_float_TN,tn_2048_261_768_ld_768_768_2048,Gemm_Rocblas_-1140855761,0.413145
GemmTunableOp_float_TN,tn_768_261_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855720,0.378403
GemmTunableOp_float_TN,tn_768_1_768_ld_768_200448_768,Gemm_Rocblas_-1140855912,0.0448948
GemmTunableOp_float_TN,tn_512_261_768_ld_768_768_512,Gemm_Rocblas_-1140855743,0.131727
GemmTunableOp_float_TN,tn_50_261_512_ld_512_512_50,Gemm_Rocblas_-1140855902,0.0262325
GemmTunableOp_float_NN,nn_594_640_261_ld_594_261_594,Gemm_Rocblas_-1140853868,0.0911125
GemmTunableOp_float_NN,nn_594_512_261_ld_594_261_594,Gemm_Rocblas_-1140853865,0.068688
GemmTunableOp_float_NT,nt_1_356400_9_ld_1_356400_1,Gemm_Rocblas_-9,0.200883
GemmTunableOp_float_TN,tn_768_172_128_ld_128_128_768,Gemm_Rocblas_-1140855903,0.038983
GemmTunableOp_float_TN,tn_768_172_768_ld_768_768_768,Gemm_Rocblas_-1140855675,0.133424
GemmTunableOp_float_TN,tn_2048_172_768_ld_768_768_2048,Gemm_Rocblas_-1140855635,0.2303
GemmTunableOp_float_TN,tn_768_172_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855743,0.292968
GemmTunableOp_float_TN,tn_768_1_768_ld_768_132096_768,Gemm_Rocblas_-1140855873,0.0412984
GemmTunableOp_float_TN,tn_512_172_768_ld_768_768_512,Gemm_Rocblas_-1140855760,0.0874324
GemmTunableOp_float_TN,tn_50_172_512_ld_512_512_50,Gemm_Rocblas_-1140855821,0.0236517
